year,month,day,hour,start_station_id,end_station_id
2026,1,27,19,ST_0018,ST_0057
2026,1,26,16,ST_0028,ST_0041
2026,1,31,7,ST_0013,ST_0060
2026,1,28,10,ST_0064,ST_0095
2026,1,26,12,ST_0020,ST_0042
2026,1,28,7,ST_0089,ST_0108
2026,1,26,17,ST_0018,ST_0066
2026,1,28,10,ST_0102,ST_0002
2026,1,29,14,ST_0068,ST_0063
2026,1,31,15,ST_0083,ST_0064
2026,1,31,9,ST_0080,ST_0002
2026,1,28,7,ST_0009,ST_0068
2026,1,28,14,ST_0045,ST_0050
2026,1,28,11,ST_0083,ST_0080
2026,1,27,8,ST_0032,ST_0029
2026,1,29,13,ST_0031,ST_0032
2026,2,1,11,ST_0008,ST_0068
2026,1,28,17,ST_0082,ST_0095
2026,1,30,8,ST_0108,ST_0002
2026,1,31,15,ST_0021,ST_0093
2026,1,27,18,ST_0027,ST_0027
2026,1,31,23,ST_0012,ST_0063
2026,1,31,11,ST_0085,ST_0023
2026,1,31,10,ST_0049,ST_0003
2026,1,26,13,ST_0095,ST_0002
2026,1,27,17,ST_0085,ST_0018
2026,1,30,8,ST_0069,ST_0040
2026,1,28,8,ST_0035,ST_0095
2026,1,28,17,ST_0106,ST_0068
2026,1,27,9,ST_0091,ST_0045
2026,1,31,19,ST_0010,ST_0092
2026,2,1,9,ST_0019,ST_0030
2026,1,26,14,ST_0031,ST_0066
2026,1,27,11,ST_0076,ST_0086
2026,1,27,9,ST_0087,ST_0108
2026,1,29,8,ST_0008,ST_0005
2026,1,27,14,ST_0021,ST_0095
2026,1,31,12,ST_0096,ST_0095
2026,1,27,17,ST_0046,ST_0095
2026,1,27,15,ST_0096,ST_0083
2026,1,28,8,ST_0020,ST_0035
2026,1,29,7,ST_0109,ST_0068
2026,1,30,18,ST_0046,ST_0095
2026,1,29,17,ST_0053,ST_0095
2026,1,26,7,ST_0071,ST_0022
2026,1,26,15,ST_0016,ST_0044
2026,1,30,18,ST_0024,ST_0068
2026,1,29,7,ST_0088,ST_0043
2026,2,1,8,ST_0004,ST_0001
2026,1,30,11,ST_0051,ST_0008
2026,1,26,8,ST_0042,ST_0028
2026,2,1,9,ST_0023,ST_0034
2026,1,27,15,ST_0053,ST_0096
2026,1,26,17,ST_0108,ST_0087
2026,1,27,16,ST_0096,ST_0090
2026,1,29,7,ST_0011,ST_0003
2026,1,29,10,ST_0073,ST_0109
2026,1,28,14,ST_0035,ST_0101
2026,1,31,11,ST_0008,ST_0037
2026,1,26,17,ST_0019,ST_0068
2026,1,27,17,ST_0084,ST_0068
2026,1,27,17,ST_0072,ST_0095
2026,1,31,8,ST_0077,ST_0072
2026,1,31,10,ST_0055,ST_0050
2026,1,30,8,ST_0018,ST_0066
2026,1,26,16,ST_0021,ST_0068
2026,1,27,4,ST_0077,ST_0095
2026,2,1,17,ST_0025,ST_0068
2026,1,29,16,ST_0107,ST_0039
2026,1,26,7,ST_0106,ST_0068
2026,1,31,10,ST_0065,ST_0051
2026,1,30,7,ST_0059,ST_0010
2026,1,26,14,ST_0012,ST_0084
2026,1,31,11,ST_0078,ST_0069
2026,1,30,8,ST_0033,ST_0097
2026,2,1,10,ST_0024,ST_0068
2026,1,28,19,ST_0087,ST_0108
2026,1,30,16,ST_0012,ST_0068
2026,2,1,11,ST_0016,ST_0002
2026,1,28,17,ST_0079,ST_0079
2026,2,1,10,ST_0005,ST_0066
2026,1,26,6,ST_0071,ST_0039
2026,1,28,7,ST_0063,ST_0011
2026,1,26,15,ST_0005,ST_0030
2026,1,27,9,ST_0037,ST_0008
2026,1,28,17,ST_0020,ST_0002
2026,1,29,13,ST_0063,ST_0068
2026,1,28,8,ST_0090,ST_0069
2026,1,29,7,ST_0068,ST_0015
2026,1,29,18,ST_0008,ST_0032
2026,1,27,18,ST_0034,ST_0066
2026,1,29,12,ST_0003,ST_0007
2026,1,26,19,ST_0088,ST_0002
2026,1,26,11,ST_0055,ST_0085
2026,1,28,18,ST_0019,ST_0045
2026,1,31,16,ST_0027,ST_0066
2026,1,26,8,ST_0041,ST_0053
2026,1,30,11,ST_0059,ST_0048
2026,1,26,10,ST_0049,ST_0068
2026,1,28,14,ST_0091,ST_0037
2026,2,1,13,ST_0041,ST_0095
2026,1,29,8,ST_0040,ST_0083
2026,1,30,18,ST_0090,ST_0053
2026,2,1,14,ST_0005,ST_0066
2026,1,26,9,ST_0064,ST_0095
2026,1,28,12,ST_0014,ST_0095
2026,1,29,14,ST_0091,ST_0085
2026,1,27,10,ST_0011,ST_0003
2026,1,27,10,ST_0005,ST_0091
2026,2,1,10,ST_0002,ST_0002
2026,1,29,18,ST_0054,ST_0018
2026,1,28,11,ST_0055,ST_0098
2026,1,27,8,ST_0010,ST_0044
2026,1,30,22,ST_0002,ST_0090
2026,1,29,16,ST_0091,ST_0037
2026,1,31,11,ST_0030,ST_0066
2026,1,30,8,ST_0039,ST_0107
2026,1,26,8,ST_0090,ST_0095
2026,1,31,22,ST_0085,ST_0050
2026,1,31,11,ST_0011,ST_0067
2026,1,26,11,ST_0038,ST_0100
2026,1,27,17,ST_0066,ST_0030
2026,1,27,14,ST_0085,ST_0032
2026,1,31,15,ST_0034,ST_0055
2026,1,30,6,ST_0006,ST_0088
2026,1,28,16,ST_0040,ST_0095
2026,1,31,14,ST_0081,ST_0080
2026,1,30,22,ST_0020,ST_0014
2026,1,27,9,ST_0011,ST_0003
2026,1,30,18,ST_0071,ST_0061
2026,1,29,7,ST_0102,ST_0076
2026,1,26,7,ST_0093,ST_0066
2026,1,27,14,ST_0011,ST_0066
2026,2,1,12,ST_0072,ST_0095
2026,1,31,14,ST_0010,ST_0102
2026,2,1,10,ST_0079,ST_0068
2026,1,26,19,ST_0016,ST_0095
2026,1,31,13,ST_0039,ST_0095
2026,1,29,20,ST_0033,ST_0033
2026,1,27,11,ST_0046,ST_0068
2026,2,1,15,ST_0084,ST_0011
2026,1,30,18,ST_0069,ST_0001
2026,1,29,13,ST_0014,ST_0001
2026,1,29,15,ST_0015,ST_0068
2026,1,28,18,ST_0027,ST_0003
2026,1,26,13,ST_0067,ST_0073
2026,1,27,17,ST_0022,ST_0021
2026,1,29,13,ST_0059,ST_0048
2026,1,29,17,ST_0034,ST_0066
2026,1,28,14,ST_0002,ST_0105
2026,1,27,11,ST_0016,ST_0018
2026,1,31,11,ST_0027,ST_0068
2026,1,31,8,ST_0106,ST_0068
2026,1,29,9,ST_0057,ST_0026
2026,2,1,14,ST_0052,ST_0105
2026,1,30,19,ST_0042,ST_0001
2026,1,28,10,ST_0086,ST_0095
2026,1,30,14,ST_0005,ST_0008
2026,1,28,15,ST_0047,ST_0002
2026,1,26,23,ST_0072,ST_0001
2026,1,28,17,ST_0082,ST_0013
2026,1,28,15,ST_0035,ST_0072
2026,1,30,14,ST_0041,ST_0001
2026,1,27,18,ST_0095,ST_0040
2026,1,30,8,ST_0077,ST_0095
2026,1,26,13,ST_0014,ST_0083
2026,2,1,12,ST_0049,ST_0027
2026,1,29,12,ST_0062,ST_0099
2026,1,29,11,ST_0105,ST_0095
2026,1,27,11,ST_0094,ST_0002
2026,1,30,18,ST_0061,ST_0039
2026,1,29,20,ST_0077,ST_0069
2026,1,28,12,ST_0040,ST_0001
2026,1,28,18,ST_0036,ST_0068
2026,1,30,12,ST_0080,ST_0095
2026,1,26,12,ST_0036,ST_0084
2026,1,26,10,ST_0018,ST_0048
2026,1,26,11,ST_0105,ST_0002
2026,1,29,23,ST_0079,ST_0068
2026,1,29,19,ST_0022,ST_0066
2026,1,27,14,ST_0064,ST_0096
2026,1,27,11,ST_0044,ST_0048
2026,1,29,15,ST_0021,ST_0001
2026,1,26,16,ST_0110,ST_0002
2026,1,29,17,ST_0092,ST_0095
2026,1,27,13,ST_0028,ST_0002
2026,1,30,18,ST_0039,ST_0099
2026,1,26,9,ST_0039,ST_0068
2026,1,27,10,ST_0091,ST_0055
2026,2,1,9,ST_0030,ST_0066
2026,1,31,8,ST_0025,ST_0068
2026,1,27,14,ST_0028,ST_0066
2026,1,28,14,ST_0018,ST_0014
2026,2,1,12,ST_0047,ST_0053
2026,1,29,9,ST_0046,ST_0066
2026,1,31,7,ST_0028,ST_0042
2026,1,29,23,ST_0059,ST_0095
2026,2,1,17,ST_0109,ST_0106
2026,1,29,15,ST_0108,ST_0068
2026,1,29,8,ST_0082,ST_0002
2026,1,27,8,ST_0082,ST_0073
2026,1,26,8,ST_0030,ST_0056
2026,2,1,19,ST_0047,ST_0001
2026,1,31,13,ST_0076,ST_0072
2026,2,1,10,ST_0094,ST_0002
2026,1,29,16,ST_0086,ST_0095
2026,1,26,16,ST_0067,ST_0036
2026,1,29,15,ST_0097,ST_0068
2026,1,27,17,ST_0007,ST_0015
2026,1,27,12,ST_0051,ST_0050
2026,1,28,10,ST_0001,ST_0002
2026,2,1,12,ST_0028,ST_0042
2026,1,27,8,ST_0054,ST_0018
2026,1,29,19,ST_0072,ST_0077
2026,1,26,18,ST_0015,ST_0073
2026,1,30,21,ST_0095,ST_0002
2026,1,30,10,ST_0023,ST_0032
2026,1,30,19,ST_0029,ST_0098
2026,1,31,12,ST_0027,ST_0068
2026,1,30,16,ST_0008,ST_0095
