name,gender
Aaron Taylor-Johnson,male
Adam Driver,male
Allison Janney,female
America Ferrera,female
Amy Adams,female
Andy Serkis,male
Anthony Hopkins,male
Ben Affleck,male
Ben Kingsley,male
Benedict Cumberbatch,male
Bill Nighy,male
Brad Pitt,male
Bradley Cooper,male
Carrie Fisher,female
Cate Blanchett,female
Chris Evans,male
Chris Hemsworth,male
Chris Pine,male
Chris Pratt,male
Christian Bale,male
Ciarán Hinds,male
Clark Gregg,male
Colin Farrell,male
Daisy Ridley,female
Dave Bautista,male
Diane Lane,female
Djimon Hounsou,male
Domhnall Gleeson,male
Don Cheadle,male
Donald Sutherland,male
Elizabeth Banks,female
Emma Stone,female
Florence Pugh,female
Gal Gadot,female
Harrison Ford,male
Henry Cavill,male
Idris Elba,male
Jake Gyllenhaal,male
James McAvoy,male
Jamie Foxx,male
Jason Clarke,male
Jason Momoa,male
Javier Bardem,male
Jeffrey Wright,male
Jennifer Lawrence,female
Jeremy Irons,male
Jeremy Renner,male
John Boyega,male
John C. Reilly,male
Jon Bernthal,male
Jonah Hill,male
Josh Brolin,male
Josh Hutcherson,male
Julianne Moore,female
Karen Gillan,female
Karin Konoval,female
Karl Urban,male
Kristen Wiig,female
Laurence Fishburne,male
Leonardo DiCaprio,male
Liam Hemsworth,male
Logan Lerman,male
Lupita Nyong'o,female
Margot Robbie,female
Marisa Tomei,female
Mark Hamill,male
Mark Ruffalo,male
Mark Strong,male
Matt Damon,male
Matthew McConaughey,male
Melissa Leo,female
Michael Fassbender,male
Michael Rooker,male
Michael Shannon,male
Natalie Portman,female
Nicholas Hoult,male
Olivia Colman,female
Oscar Isaac,male
Paul Dano,male
Paul Walter Hauser,male
Pedro Pascal,male
Philip Seymour Hoffman,male
Rachel Weisz,female
Ray Winstone,male
Rebecca Ferguson,female
Robert Downey Jr.,male
Robin Wright,female
Ron Perlman,male
Rose Byrne,female
Russell Crowe,male
Ryan Gosling,male
Samuel L. Jackson,male
Sarah Paulson,female
Scarlett Johansson,female
Sebastian Stan,male
Shea Whigham,male
Simon Pegg,male
Stanley Tucci,male
Stellan Skarsgård,male
Sylvester Stallone,male
Taron Egerton,male
Terry Notary,male
Tessa Thompson,female
Timothée Chalamet,male
Toby Jones,male
Toby Kebbell,male
Tom Hardy,male
Tom Hiddleston,male
Tracy Letts,male
Vin Diesel,male
Viola Davis,female
Will Poulter,male
Willem Dafoe,male
Woody Harrelson,male
Zoe Saldaña,female
Zoë Kravitz,female
