title,actor
12 Years a Slave,Michael Fassbender
12 Years a Slave,Lupita Nyong'o
12 Years a Slave,Benedict Cumberbatch
12 Years a Slave,Paul Dano
12 Years a Slave,Sarah Paulson
12 Years a Slave,Brad Pitt
About Time,Domhnall Gleeson
About Time,Bill Nighy
About Time,Margot Robbie
Ad Astra,Brad Pitt
Ad Astra,Donald Sutherland
American Hustle,Christian Bale
American Hustle,Bradley Cooper
American Hustle,Amy Adams
American Hustle,Jeremy Renner
American Hustle,Jennifer Lawrence
American Hustle,Shea Whigham
Arrival,Amy Adams
Arrival,Jeremy Renner
Avatar: The Way of Water,Zoe Saldaña
Avengers: Age of Ultron,Robert Downey Jr.
Avengers: Age of Ultron,Chris Hemsworth
Avengers: Age of Ultron,Mark Ruffalo
Avengers: Age of Ultron,Chris Evans
Avengers: Age of Ultron,Scarlett Johansson
Avengers: Age of Ultron,Jeremy Renner
Avengers: Age of Ultron,Samuel L. Jackson
Avengers: Age of Ultron,Don Cheadle
Avengers: Age of Ultron,Aaron Taylor-Johnson
Avengers: Endgame,Robert Downey Jr.
Avengers: Endgame,Chris Evans
Avengers: Endgame,Mark Ruffalo
Avengers: Endgame,Chris Hemsworth
Avengers: Endgame,Scarlett Johansson
Avengers: Endgame,Jeremy Renner
Avengers: Endgame,Josh Brolin
Avengers: Endgame,Don Cheadle
Avengers: Endgame,Benedict Cumberbatch
Avengers: Infinity War,Robert Downey Jr.
Avengers: Infinity War,Chris Evans
Avengers: Infinity War,Chris Hemsworth
Avengers: Infinity War,Josh Brolin
Avengers: Infinity War,Mark Ruffalo
Avengers: Infinity War,Scarlett Johansson
Avengers: Infinity War,Don Cheadle
Avengers: Infinity War,Benedict Cumberbatch
Barbie,Margot Robbie
Barbie,Ryan Gosling
Barbie,America Ferrera
Batman v Superman: Dawn of Justice,Ben Affleck
Batman v Superman: Dawn of Justice,Henry Cavill
Batman v Superman: Dawn of Justice,Gal Gadot
Batman v Superman: Dawn of Justice,Amy Adams
Batman v Superman: Dawn of Justice,Diane Lane
Batman v Superman: Dawn of Justice,Laurence Fishburne
Batman v Superman: Dawn of Justice,Jeremy Irons
Birdman or (The Unexpected Virtue of Ignorance),Emma Stone
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),Margot Robbie
BlacKkKlansman,Adam Driver
BlacKkKlansman,Paul Walter Hauser
Black Widow,Scarlett Johansson
Black Widow,Florence Pugh
Black Widow,Rachel Weisz
Black Widow,Ray Winstone
Blade Runner 2049,Ryan Gosling
Blade Runner 2049,Harrison Ford
Blade Runner 2049,Dave Bautista
Blade Runner 2049,Robin Wright
Bullet Train,Brad Pitt
Bullet Train,Aaron Taylor-Johnson
Bullet Train,Michael Shannon
Bullet Train,Logan Lerman
Call Me by Your Name,Timothée Chalamet
Captain America: Civil War,Chris Evans
Captain America: Civil War,Robert Downey Jr.
Captain America: Civil War,Scarlett Johansson
Captain America: Civil War,Sebastian Stan
Captain America: Civil War,Don Cheadle
Captain America: Civil War,Jeremy Renner
Captain America: The First Avenger,Chris Evans
Captain America: The First Avenger,Sebastian Stan
Captain America: The First Avenger,Stanley Tucci
Captain America: The First Avenger,Samuel L. Jackson
Captain America: The First Avenger,Toby Jones
Captain America: The Winter Soldier,Chris Evans
Captain America: The Winter Soldier,Samuel L. Jackson
Captain America: The Winter Soldier,Scarlett Johansson
Captain America: The Winter Soldier,Sebastian Stan
Captain Marvel,Samuel L. Jackson
Captain Marvel,Djimon Hounsou
Captain Marvel,Clark Gregg
Cinderella,Cate Blanchett
Cinderella,Stellan Skarsgård
"Crazy, Stupid, Love.",Ryan Gosling
"Crazy, Stupid, Love.",Julianne Moore
"Crazy, Stupid, Love.",Emma Stone
"Crazy, Stupid, Love.",Marisa Tomei
Cruella,Emma Stone
Cruella,Paul Walter Hauser
Cruella,Mark Strong
Dark Phoenix,James McAvoy
Dark Phoenix,Nicholas Hoult
Dark Phoenix,Michael Fassbender
Dark Phoenix,Jennifer Lawrence
Dawn of the Planet of the Apes,Andy Serkis
Dawn of the Planet of the Apes,Jason Clarke
Dawn of the Planet of the Apes,Toby Kebbell
Dawn of the Planet of the Apes,Karin Konoval
Dawn of the Planet of the Apes,Terry Notary
Django Unchained,Jamie Foxx
Django Unchained,Leonardo DiCaprio
Django Unchained,Samuel L. Jackson
Don't Look Up,Leonardo DiCaprio
Don't Look Up,Jennifer Lawrence
Don't Look Up,Cate Blanchett
Don't Look Up,Jonah Hill
Don't Look Up,Timothée Chalamet
Don't Look Up,Ron Perlman
Drive,Ryan Gosling
Drive,Oscar Isaac
Drive,Ron Perlman
Dune,Timothée Chalamet
Dune,Rebecca Ferguson
Dune,Oscar Isaac
Dune,Jason Momoa
Dune,Stellan Skarsgård
Dune,Josh Brolin
Dune,Javier Bardem
Dune: Part Two,Timothée Chalamet
Dune: Part Two,Rebecca Ferguson
Dune: Part Two,Javier Bardem
Dune: Part Two,Josh Brolin
Dune: Part Two,Florence Pugh
Dune: Part Two,Dave Bautista
Easy A,Emma Stone
Ender's Game,Harrison Ford
Ender's Game,Viola Davis
Ender's Game,Ben Kingsley
Extraction,Chris Hemsworth
Fantastic Beasts and Where to Find Them,Colin Farrell
Fantastic Beasts and Where to Find Them,Ron Perlman
Fantastic Beasts and Where to Find Them,Zoë Kravitz
First Man,Ryan Gosling
First Man,Jason Clarke
First Man,Ciarán Hinds
Focus,Margot Robbie
Ford v Ferrari,Matt Damon
Ford v Ferrari,Christian Bale
Ford v Ferrari,Jon Bernthal
Ford v Ferrari,Tracy Letts
Fury,Brad Pitt
