from_id,to_id,time
26583,2838,1190592000
20796,9243,1217203200
9919,5275,1171324800
16955,17270,1199318400
43549,34703,1175644796
29826,9671,1190332800
16365,16794,1186099200
20357,2513,1200528000
8824,126,1194998400
6852,12576,1213833600
5618,37069,1218585600
6145,26333,1217548800
1841,10948,1195776000
26277,11552,1214784000
2008,26725,1199750400
1992,22835,1175472000
21104,3241,1198800000
7840,16279,1204675200
11695,42934,1182470400
4798,18254,1203465600
26645,5760,1222819200
3876,1444,1199750400
4701,16564,1191974400
22149,2517,1206489600
39083,2667,1198454400
38717,7366,1195776000
32837,762,1211414400
22889,10446,1217462400
2877,31718,1189468800
33126,33127,1219363200
10049,568,1206921600
12656,10171,1205971200
46710,20013,1222732800
11320,5814,1182384000
10529,23418,1191196800
21020,3697,1200009600
17405,7050,1171238400
36982,27298,1186099200
662,7808,1196121600
46186,42032,1179360000
3851,5289,1196726400
2922,13979,1207094400
22053,3602,1184544000
6243,21839,1177977600
3104,15074,1197244800
5170,4547,1216598400
27462,12779,1185408000
9996,20327,1197331200
903,819,1209686400
42474,20952,1183939200
19508,20218,1213660800
19762,1498,1219190400
24004,12151,1219622400
4126,3276,1183334400
34581,15328,1186444800
21682,3699,1171411200
14372,35654,1211241600
20869,419,1173225600
32633,21911,1202860800
14345,4336,1209340800
33794,24984,1182902400
17944,39091,1177459200
8377,8378,1179273600
14853,21005,1206921600
42195,30763,1199750400
538,13710,1207612800
20833,5741,1169596800
8615,7253,1204588800
3368,20452,1184716800
35775,33066,1210550400
21253,6215,1187136000
7636,16311,1176940800
16839,21165,1182988800
13448,7613,1212537600
22202,22203,1202169600
1663,37938,1209340800
339,16888,1210032000
45409,8015,1190246400
5605,14079,1187740800
1974,47679,1222992000
394,8394,1205798400
8062,25487,1174953600
33537,24215,1193788800
17537,465,1173657600
28434,28435,1198195200
1170,20740,1177372800
6645,14885,1180656000
3091,18754,1206921600
1106,14640,1220918400
20603,2347,1199750400
33281,1060,1178841600
3391,17811,1174348800
29373,3359,1217894400
1181,1182,1179187200
4513,7670,1216166400
9193,12373,1184025600
9642,24828,1216080000
33241,20480,1186012800
44174,18243,1200009600
4049,3127,1214870400
1315,10570,1206921600
319,4491,1222732800
528,13249,1213315200
18183,23795,1223424000
2994,14303,1224115200
8613,9221,1217376000
